1,28800000,0,1,28800000,0,1,28800000,0,1,28800000,0
28800001,29144211,1,28800001,29144584,1,28800001,29141988,1,28800001,29144211,1
29144212,29150920,2,29144585,29150574,2,29141989,29151243,2,29144212,29150920,2
29150921,29748826,1,29150575,29749526,1,29151244,29749207,1,29150921,29749207,1
29748827,29756502,2,29749527,29760070,2,29749208,29761144,2,29749208,29760070,2
29756503,29759363,3,29760071,30000000,1,29761145,30000000,1,29760071,30000000,1
29759364,30000000,1,30000001,57600000,0,30000001,57600000,0,30000001,57600000,0
30000001,57600000,0,57600001,57624074,1,57600001,57613083,1,57600001,57624988,1
57600001,57646033,1,57624075,57628207,2,57613084,57613540,2,57624989,57628087,2
57646034,57651055,2,57628208,57630776,1,57613541,57617304,1,57628088,57630776,1
57651056,57667503,1,57630777,57634284,2,57617305,57617634,2,57630777,57634284,2
57667504,57670087,2,57634285,57646461,1,57617635,57621355,1,57634285,57646331,1
57670088,57714008,1,57646462,57650690,2,57621356,57621715,2,57646332,57650690,2
57714009,57748833,2,57650691,57667474,1,57621716,57622644,1,57650691,57667474,1
57748834,57844571,1,57667475,57670187,2,57622645,57623031,2,57667475,57670187,2
57844572,57854117,2,57670188,57675788,1,57623032,57624988,1,57670188,57675788,1
57854118,57868760,1,57675789,57680752,2,57624989,57628087,2,57675789,57680592,2
57868761,57878665,2,57680753,57703725,1,57628088,57630687,1,57680593,57703725,1
57878666,57937062,1,57703726,57720989,2,57630688,57634671,2,57703726,57709477,2
57937063,57950555,2,57720990,57721591,1,57634672,57636317,1,57709478,57710590,1
57950556,58242889,1,57721592,57722082,2,57636318,57637541,2,57710591,57713213,2
58242890,58309899,2,57722083,57722979,1,57637542,57642972,1,57713214,57714008,1
58309900,58343161,1,57722980,57729936,2,57642973,57645628,2,57714009,57720989,2
58343162,58502057,2,57729937,57734413,1,57645629,57646331,1,57720990,57721555,1
58502058,58655064,1,57734414,57744951,2,57646332,57647767,2,57721556,57730021,2
58655065,58663433,2,57744952,57746771,1,57647768,57648593,1,57730022,57730937,1
58663434,58784095,1,57746772,57747657,2,57648594,57650131,2,57730938,57732007,2
58784096,58789398,2,57747658,57759856,1,57650132,57660324,1,57732008,57734335,1
58789399,58800000,1,57759857,57760788,2,57660325,57660824,2,57734336,57744951,2
58800001,86482000,0,57760789,57868514,1,57660825,57667279,1,57744952,57746581,1
,,,57868515,57870819,2,57667280,57670438,2,57746582,57747657,2
,,,57870820,57877200,1,57670439,57675739,1,57747658,57759856,1
,,,57877201,57877914,2,57675740,57680592,2,57759857,57760780,2
,,,57877915,57938366,1,57680593,57681623,1,57760781,57845217,1
,,,57938367,57945408,2,57681624,57681990,2,57845218,57845645,2
,,,57945409,57947088,1,57681991,57682979,1,57845646,57847191,1
,,,57947089,57950810,2,57682980,57684080,2,57847192,57847914,2
,,,57950811,58243591,1,57684081,57686201,1,57847915,57848707,1
,,,58243592,58245078,2,57686202,57686888,2,57848708,57853719,2
,,,58245079,58253258,1,57686889,57703675,1,57853720,57868514,1
,,,58253259,58255577,2,57703676,57709477,2,57868515,57870819,2
,,,58255578,58257694,1,57709478,57710590,1,57870820,57872386,1
,,,58257695,58258393,2,57710591,57713213,2,57872387,57874873,2
,,,58258394,58259811,1,57713214,57714118,1,57874874,57876615,1
,,,58259812,58260288,2,57714119,57715199,2,57876616,57878305,2
,,,58260289,58263334,1,57715200,57716051,1,57878306,57937615,1
,,,58263335,58279233,2,57716052,57720630,2,57937616,57945408,2
,,,58279234,58289513,1,57720631,57721555,1,57945409,57947005,1
,,,58289514,58292884,2,57721556,57730021,2,57947006,57950555,2
,,,58292885,58343451,1,57730022,57730937,1,57950556,58243469,1
,,,58343452,58347131,2,57730938,57732007,2,58243470,58246716,2
,,,58347132,58354714,1,57732008,57733051,1,58246717,58247998,1
,,,58354715,58372265,2,57733052,57733307,2,58247999,58248497,2
,,,58372266,58387599,1,57733308,57734335,1,58248498,58251941,1
,,,58387600,58400807,2,57734336,57737500,2,58251942,58255577,2
,,,58400808,58411520,1,57737501,57738568,1,58255578,58257694,1
,,,58411521,58415390,2,57738569,57741201,2,58257695,58258428,2
,,,58415391,58418358,1,57741202,57742178,1,58258429,58259796,1
,,,58418359,58419910,2,57742179,57744694,2,58259797,58260397,2
,,,58419911,58426703,1,57744695,57746581,1,58260398,58263216,1
,,,58426704,58432365,2,57746582,57747640,2,58263217,58279233,2
,,,58432366,58444410,1,57747641,57759786,1,58279234,58280556,1
,,,58444411,58455163,2,57759787,57760780,2,58280557,58281063,2
,,,58455164,58476550,1,57760781,57765351,1,58281064,58289281,1
,,,58476551,58489176,2,57765352,57771287,2,58289282,58292884,2
,,,58489177,58493154,1,57771288,57777312,1,58292885,58296079,1
,,,58493155,58499929,2,57777313,57783215,2,58296080,58296634,2
,,,58499930,58657450,1,57783216,57785049,1,58296635,58299192,1
,,,58657451,58660965,2,57785050,57785507,2,58299193,58299795,2
,,,58660966,58800000,1,57785508,57787364,1,58299796,58304774,1
,,,58800001,86482000,0,57787365,57788275,2,58304775,58308045,2
,,,,,,57788276,57789616,1,58308046,58343299,1
,,,,,,57789617,57790792,2,58343300,58347131,2
,,,,,,57790793,57797339,1,58347132,58350551,1
,,,,,,57797340,57801935,2,58350552,58350928,2
,,,,,,57801936,57819408,1,58350929,58353143,1
,,,,,,57819409,57820532,2,58353144,58372718,2
,,,,,,57820533,57821635,1,58372719,58373510,1
,,,,,,57821636,57822019,2,58373511,58373921,2
,,,,,,57822020,57827703,1,58373922,58375622,1
,,,,,,57827704,57829752,2,58375623,58376936,2
,,,,,,57829753,57836097,1,58376937,58381649,1
,,,,,,57836098,57836545,2,58381650,58383416,2
,,,,,,57836546,57837699,1,58383417,58385271,1
,,,,,,57837700,57838957,2,58385272,58386713,2
,,,,,,57838958,57845217,1,58386714,58387599,1
,,,,,,57845218,57845645,2,58387600,58400811,2
,,,,,,57845646,57847191,1,58400812,58407602,1
,,,,,,57847192,57847914,2,58407603,58410280,2
,,,,,,57847915,57848707,1,58410281,58411406,1
,,,,,,57848708,57853719,2,58411407,58415390,2
,,,,,,57853720,57855035,1,58415391,58418358,1
,,,,,,57855036,57855564,2,58418359,58419910,2
,,,,,,57855565,57860345,1,58419911,58422176,1
,,,,,,57860346,57860805,2,58422177,58423134,2
,,,,,,57860806,57864632,1,58423135,58426703,1
,,,,,,57864633,57865277,2,58426704,58432365,2
,,,,,,57865278,57867060,1,58432366,58444093,1
,,,,,,57867061,57870269,2,58444094,58456629,2
,,,,,,57870270,57872386,1,58456630,58468477,1
,,,,,,57872387,57874873,2,58468478,58472517,2
,,,,,,57874874,57876615,1,58472518,58476550,1
,,,,,,57876616,57878305,2,58476551,58489176,2
,,,,,,57878306,57895173,1,58489177,58491547,1
,,,,,,57895174,57896424,2,58491548,58491920,2
,,,,,,57896425,57897555,1,58491921,58493054,1
,,,,,,57897556,57897977,2,58493055,58499929,2
,,,,,,57897978,57937615,1,58499930,58657450,1
,,,,,,57937616,57942118,2,58657451,58660965,2
,,,,,,57942119,57943254,1,58660966,58786036,1
,,,,,,57943255,57945041,2,58786037,58786452,2
,,,,,,57945042,57947005,1,58786453,58800000,1
,,,,,,57947006,57949642,2,58800001,86482000,0
,,,,,,57949643,58069808,1,,,
,,,,,,58069809,58070464,2,,,
,,,,,,58070465,58243469,1,,,
,,,,,,58243470,58246716,2,,,
,,,,,,58246717,58247998,1,,,
,,,,,,58247999,58248497,2,,,
